Tweet,Search,Document
"Everyday I hear about men surviving an IED in Afghanistan, I say a thank you and a prayer for the wonderful people at @OshkoshDefense for this wonderful machine. #USA #USArmy #USAF ",USAF,16
"Nominee for Texas Ag Commissioner, retired USAF Colonel, and farmer Kim Olson joined DACED last night and she even let me take home some of her delicious peaches and peach salsa from 4K River Ranch in Mineral Wells, TX! #TXlege",USAF,17
"This is a very somber reminder that although r #Police #LawEnforcementOfficers #LEOS #ICE #BorderPatrol #USAF WILLINGLY FACE DANGER EVERYDAY 2 protect US, they often make the ultimate sacrifice & DESERVE r respect always. #Trump #MAGA #MAGA2020 #KAG #BlueLivesMater #AmericaFirst",USAF,18
I?ve done 3 Tours of combat for my country I officially became a USAF Vet this Year As I see and observe what?s taking place in my country My Fight will continue as long as I live for American Democracy with Freedoms and rights the way we were founded on :That?s my oath :????????,USAF,19
The sound of the four fans of freedom! #USAF #C130J #JModel #MaintainerNation,USAF,20
"A fascinating LinkedIn profile suggests the USAF Rapid Capabilities Office was assigned a ""highly classified"" project to develop and test a $4.7 billion ""combat system"" from 2007 to 2010. Any theories? RQ-180? LRS-B prototype? Other? ",USAF,21
"As a former USAF engineer and successful business leader, I know how critical science and technical training can be to America's national security and economic future. I'm inspired by all the #STEM professionals running this year.",USAF,22
#FaceofDefense: This @PeteAFB #Airman found hope in #USAF during the lowest point in her life. ,USAF,23
"Huckabnee calls on Trump to intervene after USAF replaces Bible in POW exhibit with generic ""book of faith.""",USAF,24
RT @AFSpaceCC: It's a historic day for @usairforce as @AFSpace transferred the cyber mission to @USAF_ACC. Space & cyber space will continue to build on the outstanding #teamwork we have had for almost a decade to fuel every facet of multi-domain ops.,USAF,25
"Visiting Cold Lake for the big @ColdLakeAirShow. Catching up with some of our great @RCAF_ARC personnel, & met the USAF @F22RaptorDemo Team.",USAF,26
Great day visiting our #Airmen @ScottAFB. Thank you @AirMobilityCmd for giving me an in-depth look at how our Mobility Airmen make the #USAF a global force & for sharing the stories of all #AMC?s humanitarian efforts over the last year. I couldn?t be more proud.,USAF,27
"Watchdog says USAF is wasting F-22s on patrols and deployments, should consolidate force:",USAF,28
Congrats to Brigadier General Greg Gutterman (aka @BHSHOCKEYCOACH) on his retirement from the USAF!! Thank you sir for your 34 years of service to our country!!!,USAF,29
U.S. Air Force fighter jet intercepts plane near Trump golf course in New Jersey ,USAF,30
A U.S. Air Force fighter jet intercepted a small general aviation aircraft flying near President Donald Trump's private golf club Saturday. ,USAF,31
.@JimInhofe: ?Safely maintaining the JSTARS program while developing the next generation of capabilities best serves the needs of the U.S. Air Force.? #NDAA,USAF,32
"Iowa GOP Rep. Rod Blum just said he and Wilbur Ross made a bet on Air Force One that the U.S. would reach a deal with Mexico in the next 90 days. Ross bet him a steak dinner that it would get done. ""I fully expect to buy you a steak dinner,"" Blum says. ",USAF,33
"There are reports circulating that the U.S. Air Force is considering major cuts to its planned procurement of 1,760 F-35As. This would be a colossal blunder.",USAF,34
"Airmen of @PACAF have an awesome responsibility as the Air Force component to U.S. #IndoPacific Command, which covers half the world?s surface, 100% of that is covered by air.",USAF,35
"I am a husband, father, 10-year state senator, and 21-year U.S. Air Force #veteran. Here's why I'm running for #NEGov",USAF,36
"In any case, the full story, speaking to everyone from architectural historians and archivists to the head of U.S. Air Force targeting during Operation Desert Storm, is up at @thedailybeast, called ?Assignment Baghdad.? ",USAF,37
Flying High! Air Force Academy Cadets designed and are now building a new bridge with the U.S Forest Service on McCullough Gulch Trail near Breckenridge that will help rescue teams help others faster! More coming up this morning on @9NEWS,USAF,38
"Sweet Jesus, someone PLEASE let Trump know that the Air Force already has the U.S. Space Command, literally charged with what his stupid Space Force idea is meant to do. How did his staff not warn him of this before he went to give a speech to LITERALLY MILITARY VETERANS?",USAF,39
"Iowa GOP Rep. Rod Blum just said he and Wilbur Ross made a bet on Air Force One that the U.S. would reach a deal with Mexico in the next 90 days. Ross bet him a steak dinner that it would get done. ""I fully expect to buy you a steak dinner,"" Blum says. ",USAF,40
"All four service chiefs from the Army, Navy, Air Force and Marines agree: Transgender service members have served without any problems in the U.S. military. #TransBanTweetUp",USAF,41
"The brave men and women of the U.S. Air Force deserve better than a generic book to honor the very real faith that sustained many of our heroic POW/MIA warriors. Help bring the Bible back to the Missing Man Table, sign the petition: ",USAF,42
New planes. New nuclear weapons. New subs. The $716 billion defense authorization bill holds more than a few goodies for Offutt Air Force Base?s 55th Wing and U.S. Strategic Command.,USAF,43
"?An American can tweet ?The president is a f***** idiot? and not go to jail,? wrote retired Air Force Lt. Col. Rachel VanLandingham in a recent article. ?Yet if a U.S. soldier does the same, they are committing a federal crime.? ",USAF,44
Wishing my brother and best friend Lieutenant Marvin a great first day as he starts his career with the U.S Air Force. One of the greatest gifts of my life has been your guidance! ,USAF,45
"Instead of spending $1,210 to replace a single broken coffee cup (yes, you read that right), the U.S. Air Force is using #3Dprinting for repairs.",USAF,46
The U.S. has dropped more weapons over Afghanistan in each month of 2018 than the corresponding months of every year since at least 2013. @halbritz found the data in an unclassified PDF released by the Air Force last Friday. ,USAF,47
Congress has decided not to force the U.S. Air Force to pursue Joint Surveillance Target Attack Radar System recapitalization ??#Aerospace ,USAF,48
"I served in the U.S. Air Force and as a matter of fact, YES i _did_ serve so that misguided dumbasses could burn the flag. I would much rather live in a country where they _can_ do that without going to jail, than one where they can?t.",USAF,49
"Trump had a much better statement: ""?We?re going to have to see,? Trump told reporters Friday on Air Force One when asked if the U.S. would accept Russia?s claim on the territory",USAF,50
"We?re excited to announce our #C9CSGO partnership with @USAFRecruiting! We?re looking forward to collaborating creatively with our team, showcasing opportunities to make a difference with the #USAF! #AimHigh ",USAF,51
"The #USAF presented the first remote ""R"" device to #remotelypilotedaircraft #aircrew members at @Creech_AFB. ",USAF,52
"During my Air Force career, I was the top Electronic Warfare graduate and a distinguished graduate of USAF Officer Intelligence School, Navigator School, and the Air Command and Staff College. My background and expertise is unique in all of Congress. #NE02 pic.twitter.com/PRObGsT2vc",USAF,53
"I qualified on the M16A2 back in the day. Yeah, I'm old, messed up and now a Democrat and a line cook rather than the USAF security policeman & Republican voter that I once was, but I'd still rather die with a rifle in my hands than be a Russian slave. This is America damn it.",USAF,54
"OTD 61 years ago, five USAF volunteers and a USAF cameraman stood on Yucca Flat at the Nevada Proving Ground, directly underneath the explosion of an AIR-2 Genie air-to-air nuclear rocket (yield of the W25 warhead was ~1.7 kilotons). ",USAF,55
"#DYK: For over two decades, Max Impact has established a legacy of #innovation with dynamic original songs, many of which are written for specific career fields within the #USAF. #KnowYourMil",USAF,56
Columbian Kfir fighters trained with #USAF #A10s and #F16s @DMAFB on their way to @NellisAFB for #RedFlag. ,USAF,57
What started by loading a #patient into a rickety #biplane has evolved to serve a fleet of #flying #hospitals and more. The USAF School of Aerospace Medicine?s School of Air Evacuation will celebrate its 75th anniversary Aug. 2 and 3. @USAFHealth ,USAF,58
World Premier Nutnfancy Music video honoring USAF Pararescue (PJs) posts tomm night on TNP Patreon. And is FREE content to TNP Patrons. The high value gear and adventure Patreon Channel,USAF,59
Today the cyber mission was transferred from #AFSPC to @USAF_ACC. Our partnership with #cyber does not end here though as cyber capabilities are foundational to our space mission and the @usairforce.,USAF,60
"Anyone remember that RAND simulation where the USAF lost vs the PLAAF because they couldn't put up enough planes and missiles in the air? Would be interesting to see it ran again with F-15s armed with 24 AMRAAMs. Could be a game changer, ",USAF,61
Our sincerest apologies for the incorrect spelling. CORRECTION: Colombian Kfir fighters trained with #USAF #A10s and #F16s @DMAFB on their way to @NellisAFB for #RedFlag.,USAF,62
DoD wants more money for its new ICBM program (GBSD) in FY18. Lot more. New reprogramming request seeks additional $38.85 million. Which follows ask in February for additional $57.6 million. In total USAF has said it wants an additional $183 mil. Current FY18 approp is $215.7 mil ,USAF,63
"TRUMP ALLEGEDLY LEAKED CLASSIFIED INFO TO PUTIN RESULTING IN THIS Nine months, nine prominent Russians dead ",USAF,64
Just interviewed an amazing #MAGA candidate in #AZ01 USAF Vet @WendyRogersAZ who is running to serve again. She certainly should be interviewed by @codeofvets !,USAF,65
It's a historic day for @usairforce as @AFSpace transferred the cyber mission to @USAF_ACC. Space and cyber space will continue to build on the outstanding teamwork we have had for almost a decade to fuel every facet of multi-domain operations. #spaceforce #spacex #maga,USAF,66
The @319ABW hosted members of the @usairforce Junior Reserve Officers? Training Corps Flight Academy July 13. The organization's Chief of Staff Private Pilot Scholarship program encourages high school #students to consider careers in aviation. ????,USAF,67
"a delegation from Qatari MOD, Qatari MOI and Qatar customs visited USAF and NATO bases including: Naval Station Rota and RAF Mildenhall to enhance coordination & cooperation between Qatari, US & NATO Forces in defense and military fields. ",USAF,68
?I served with many immigrants. Served alongside NATO allies in Afghanistan. Never served with a single Trump because Trumps don?t serve America. They expect Americans to serve them.?~Melanie Streeter?USAF Veteran ,USAF,69
"As a USAF veteran, I know this President?s Blame America First diplomacy is damaging and wrong. But there is absolutely no excuse for his fawning treatment of Putin in Helsinki today when we have clear evidence Putin perpetrated a coordinated Russian attack on our democracy.",USAF,70
"Thank you Brig Gen Michael Lutton, USAF and CAPT Owen Travis, USN for your outstanding service to our Nation. The ~30 men and women in uniform who serve @Energy support our mission, working closely with our civilian workforce.",USAF,71
"USAF Identifies Heroic B-1B Bomber Crew, Awards Distinguished Flying Crosses ",USAF,72
"""An extraordinary #RAF100 gift presented by @WordonAlfred - a US flag which flew with him to the Moon on #Apollo 15. Reinforcing the bond between RAF and USAF and an inspiring example for our next generation of air and space power experts. @FIAFarnborough",USAF,73
"But TL;DR, it's a sect that thinks the Apocalypse is the best thing that could possibly happen. Oh, did I mention Mike Pence is a member? And that they've been systematically infiltrating the US armed forces, especially the USAF, for decades?",USAF,74
"July 14, 1922 ? birth of General Robin Olds, American fighter pilot in USAF - ""triple ace"", w/ 16 victories in WWII & Vietnam War. Robin was a friend - gave a great acceptance speech when he was inducted into the National Aviation Hall of Fame @WWII, #FighterAce @usairforce",USAF,75
"#USAF and @USArmy coed softball teams compete in the All-Star Armed Services Classic Championship game. This event, part of @MLB?s All-Star Week, pays tribute to the men and women of the Armed Forces. @Nationals",USAF,76
"NEW: U.S. Air Force awards contract to Boeing for two ?Air Force One? replacement planes. White House says price of $3.9 billion saves ""$1.4 billion from the initially proposed $5.3 billion cost-plus contract."" ",USAF,77
"During the same week that many people are expressing anger over Russian cyber meddling, the U.S. Air Force is now saying that becoming a cyber warrior to use offensive tactics on other countries is an official career path inside the American military. ",USAF,78
"U.S., Boeing complete $3.9 billion Air Force One deal ",USAF,79
"For 17 years, the U.S. military has struggled to communicate with the Afghan people in a way that earns their trust. NPR?s Quil Lawrence has the story of a young air force captain who could do that ? and what happened when she tried ??",USAF,80
?The amount of money spent by the Air Force on the European Deterrence Initiative ? meant to make Russia think twice about a confrontation with the U.S. or its allies ? has shot up from $388.7 million in fiscal year 2017 to $1.07 billion in FY18.? ,USAF,81
"JUST IN: The U.S. Air Force is allowing its supersonic B-1 bombers to fly with broken ejection seats, potentially putting lives at risk in the event of an emergency. My latest @ForeignPolicy",USAF,82
"Jerry served in the U.S. Air Force. Later in life, he underwent open-heart surgery and became addicted to opioids. Check out Jerry?s story about his addiction, the challenges he faced, the tough love he received, and his recovery: ",USAF,83
Honored to meet U.S. Air Force Technical Sergeant Mike Perolio and hear about his service to our country overseas. ,USAF,84
"U.S. planes stand ready to be picked up at Abadan Field, Iran, Five principal types of aircraft were delivered to Russia, three of which are shown here. Of the total, about 20% were P-40s, 25% P-39s, 49% A-20s, 5% B-25s and 1% AT-6s. (U.S. Air Force photo) ",USAF,85
The U.S. Air Force sends the B-1 bomber to international military air shows as a demonstration of American excellence. But the B-1 has faulty ejection seats?potentially putting lives at risk. @laraseligman reports from the UK #RIAT18 #Farnborough2018 ,USAF,86
#WhiteHouse buys two Air Force One planes for 3.9 billion U.S. dollars ,USAF,87
"We're sad to hear of the death of Adrian Cronauer (1938?2018), the U.S. Air Force sergeant and disc jockey depicted in GOOD MORNING, VIETNAM (1987).",USAF,88
"Newspaper clipping about U.S. Air Force Airman First Class John Stephen Berg being killed in action on July 15, 1967. The artifact was left at The Wall by W. J. Opferman of Trenton, New Jersey in 1986. ",USAF,89
Boeing Co has received a $3.9 billion contract to build two 747-8 aircraft for use as Air Force One by the U.S. president.,USAF,90
It was a great day at Westover Air Reserve Base as we met with the U.S. Air Force Thunderbirds. ,USAF,91
We're at @airtattoo until tomorrow! ??Here's one of the setups equipped with the new TPR and the T.Flight U.S. Air Force Edition gaming headset. Be among the first ones to try them! ??,USAF,92
"U.S., Boeing complete $3.9 billion Air Force One deal; Trump has discussed painting the planes red, white and blue ",USAF,93
"Surprise, surprise: The U.S. Air Force isn't moving quickly enough on artificial intelligence contracts that would bring in skilled software experts or new tech.",USAF,94
"Wouldn't it be great if Air Force One just fired up and flew back to the U.S., leaving trumpov's traitorous ass in Helsinki? ",USAF,95
"NEW: U.S. Air Force awards contract to Boeing for two ?Air Force One? replacement planes. White House says price of $3.9 billion saves ""$1.4 billion from the initially proposed $5.3 billion cost-plus contract."" ",USAF,96
Trump is the first U.S. president who's hairspray use has the same impact on the ozone layer as Air Force One. #fakenews #hairforceone,USAF,97
"The 121st Air Refueling Wing dedicated a #KC135s to the Women #Airforce Service Pilots in a ceremony at Rickenbacker Air National Guard Base, Ohio, July 13. The base was a training site for the WASP program from 1943-1944. (U.S. Air National Guard photo by A1C Tiffany A. Emery) ",USAF,98
"VoteVets-endorsed @mjhegar, a US Air Force veteran running in #TX31, outraised her Republican opponent, incumbent Rep. John Carter, by a 4-1 margin! #BlueWave #TXPol",USAF,99
"#RIP to Adrian Cronauer, the US Air Force sergeant and radio DJ who inspired the Robin Williams character in ""Good Morning, Vietnam."" ",USAF,100
"There is no place like home, #Airmen from the @139AW returned home from a deployment. The #USAF's greatest strength is its Airmen - patriots w/ strong character, driven by core values of integrity, service, & excellence. ",USAF,101
Not every day you see the @POTUS fly over your house but I am so happy to have caught #AF1 VC-25A 92-9000 cruising over Oxfordshire at FL270 on route to the #NATOSummit #avgeek #potus #Boeing #aviation #DonaldTrump #usaf ,USAF,102
"Also a reminder that McPeak was the guy who thought USAF officer uniforms should look like a cross between RAF and USN uniforms, with some Vintage Airline Pilot thrown in, a bad idea that was quickly undone. ",USAF,103
"In the #USAF, boots are the ?soles? of every #Airman who keeps the mission advancing forward. The Boot Issue program keeps Airmen in the fight. ",USAF,104
Senior #USAF civilians were recognized for their extraordinary achievements w/ Presidential Rank Awards. #TotalForce ,USAF,105
"We recently received our 39th F-35A. We're now halfway to our full complement of 78 aircraft and we've launched nearly 8,000 sorties since receiving our first two aircraft in September 2015. #F35 #maintainers #avgeek #airpower #airmen #AirForce #USAF #ACC #Utah @HAFB @419fw",USAF,106
"Watch #USAF veteran share how a disabled dog saved his life after he traveled more than 1,200 miles round trip to adopt her, via our fur-riends @STAINMASTER  #loverescuedme #homeatlast",USAF,107
#Congratulations to aircrews of the 432nd Wing/432nd Air Expeditionary Wing at @Creech_AFB for being awarded the @usairforce's first remote device! ???,USAF,108
Air Force Is Hiding Its Controversial Flyoff Between the A-10 and F-35 | via @thewarzonewire @FranticGoat #USAF #F35 #A10 ,USAF,109
"Let's assume: I lived in #NE02; my Congressman was a retired USAF brig general; the current president just spent two days belittling the #NATO Alliance. If these assumptions were correct, I'd expect my Congressman to be going apoplectic right now. Crickets.",USAF,110
#OTD 1964: The Western Development Division Rock was dedicated by Gen Bernard Schriever & Gen Jimmy Doolittle at site of the original WDD HQ (pictured) to mark 10-year anniversary of USAF ballistic missile program. #BonusFact: the granite rock was from a Minuteman launch site.,USAF,111
"Tuesday, 10 July 2018 21:05:07 (3:05 PM EDT) #POTUS #AirForceOne (USAF on time) Arrival - Brussels, Belgium (Melsbroek Air Base - EBMB) 21:15:33 #Motorcade Departure - en route Chief of Mission Residence",USAF,112
As an American and Vet I refuse to go down the rabbit hole of Trump and Republicans Of Corruption and destruction of My country I will stand and resist till I no longer exist : USAF !,USAF,113
"(38) POTUS and FLOTUS returned from Bedminster and were greeted by Col. Rebecca Sonkiss, who has been commander of the USAF 89th Airlift Wing for about three weeks, and her wife, Kathy Helms. The 89th includes AF1, AF2 & other executive ops. ",USAF,114
Please remember to pray for our troops who remain in harm's way ??#SOT #USArmy #USNavy #USMC #USAF #USCG #FamiliesServe2 #NeverForgotten ??????????,USAF,115
A sneaky peek inside these gorgeous planes #exploring #Military #planes #RAF #USAF #army #vintage #abandonedplaces #interiordesign #youtubers #seats #travel #cobwebs #spiders #creepy #spooky #adventure #vlogger #WW2 #history #historical #england,USAF,116
"This whole thread is a series of bad takes. The sources are Sputnik and RT, both Russian gov't propaganda outlets. I'm an F-35 skeptic (and frankly a skeptic of USAF's longstanding fascination with ""anything BUT the CAS mission"") but there is literally nothing useful here. ",USAF,117
Our weekend of surprises continues! Thanks to USAF Tech Sgt Samuel Weirton for helping us surprise his family by returning home from duty early and thank you from all of us at DAYTONA for your service!,USAF,118
Members from #RAF and @48FighterWing #Airmen joined a presentation of the 121 & 133 Eagle Squadron badges to #USAF pilots who flew for @RoyalAirForce in #WWII. ,USAF,119
"A @usairforce F-22 Raptor flies past spectators during the Arctic Thunder Open House Special Needs and DoD Family Day at Joint Base Elmendorf-Richardson, Alaska, June 29, 2018.",USAF,120
Extraterrestrials Working with Humans in USAF Classified Programs ,USAF,121
"Airfield management #Airmen at @TeamBarksdale keep their 40-year-old flightline running, helping the #USAF continue to own the air domain. ",USAF,122
"Us Air Force Honor Code: We will not lie, steal, or cheat, nor tolerate among us anyone who does. USAF Motto: Integrity First, Service Before Self, Excellence in All We Do. @ Air Force? utm_source=ig_twitter_share&igshid=1ce269ffgi9fzÿ?",USAF,123
The U.S. flag is folded during the burial service at Arlington National Cemetery for Army Air Force Staff Sgt. John H. Canty. Canty?s plane was shot down over France during World War II & he was only 22 when he was declared missing in action in June 1944. ,USAF,124
"""What was accomplished was a once in a lifetime rescue"": U.S. Air Force rescue specialist details high-risk Thai cave mission. ",USAF,125
U.S. Air Force drone documents found for sale on the dark web for $200  by @tayhatmaker,USAF,126
The U.S. Air Force has begun a much-anticipated competitive fly-off between two controversial warplanes in an effort to determine which is better at supporting ground troops ,USAF,127
"U.S. Air Force Douglas C-124C Globemaster II aircraft (s/n 52-1060 in front) unload their cargo at Phalsbourg air base, France, as part of ""Operation Stair Step"" during the 1961 Berlin crisis. bolstered NATO forces from November 1961 to August 1962 before returning home. 1961 ",USAF,128
"?The U.S. is spending many times more than any other country in order to protect them,? President Trump said of the other members of NATO, hours before Air Force One left for Belgium. ?Not fair to the U.S. taxpayer.? ",USAF,129
"A woman to celebrate-- Olga Custodio, 1st female Hispanic U.S. military pilot, 1st Hispanic woman to complete US Air Force military pilot training, & 1st female Hispanic commercial airline captain. Brava!  #ChampionWomen",USAF,130
MSU football hero Jalen Watts Jackson to join U.S. Air Force ,USAF,131
The U.S. Air Force Thunderbirds have been roaring through the skies for 65 years. ,USAF,132
How an amateur hacker stole top-secret drone documents from the U.S. Air Force ,USAF,133
The U.S. Air Force is hiding its controversial flyoff between the A-10 and F-35:,USAF,134
"The U.S. Treasury sanctioned Air Koryo, North Korea?s national airline, in December 2016. But here you can see an Air Koryo stairway being used for @SecPompeo to mount his US Air Force Boeing 757. And we should believe ?Maximum Pressure? prevails? ??",USAF,135
"Please, U.S. Air Force, don't let Trump schlock up Air Force One's iconic appearance:",USAF,136
?He is very spry for his age ? he?s 95 soon to be 96-years-old and is both a WWII and Korean War veteran in the U.S. Air Force.? ,USAF,137
Another #USAFA graduate continuing to do great things for the #USAF and the U.S. Captain Gluck graduated from the Air Force Academy in 2012. ,USAF,138
"""Whether fighting for a full-service VA hospital or ensuring that veterans get the benefits they have earned, I know Chris will roll up his sleeves and deliver for the veterans and military families of NH's first district."" -Bob Hannan, Captain, U.S. Air Force #nhpolitics #NH01",USAF,139
"One U.S. service member killed, two wounded, in apparent insider attack in southern Afghanistan, @ResoluteSupport says. No word on exactly where yet. A few hundred Marines are in Helmand, and similar sized presence of mostly U.S. Air Force is in Kandahar to train Afghan pilots.",USAF,140
"?A sensitive training manual for the U.S. military?s lethal MQ-9 Reaper UAV was put up for sale on an underground marketplace last month, after a hacker plucked it from an Air Force captain?s home network using a default password.? More take home goodies. ",USAF,141
.@realDonaldTrump has been greeted by protestors as he arrived in London for his first visit to the UK as President. Mr Trump and wife @MELANIATRUMP touched down on Air Force One before taking a helicopter to the U.S. Ambassador's official residence in Regent's Park. #7News,USAF,142
"U.S. military involvement in Thai rescue primarily came from 353rd Special Operations Group, an Air Force unit in Japan that dispatched pararescuemen and other airmen in a search-and-rescue team. They prepared first three chambers of the caves for safe passage, DOD spox says.",USAF,143
"""The planes, which reports said were flying low to avoid detection, passed through the al-Tanaf area where U.S. forces have a base."" America still actively supporting Al Qaeda air force. #Syria #Israel #Iran",USAF,144
U.S. Military Surveys Found Local Distrust in Niger. Then the Air Force Built a $100 Million Drone Base.  US-China resource wars in Africa,USAF,145
"Please, U.S. Air Force, don't let Trump schlock up Air Force One's iconic appearance:",USAF,146
If I was Prime Minister of UK and Donald Trump?s plane airforce one landed on UK soil. I would lock him and his convoy in a cage for couple of hours and then send them back to U.S. ,USAF,147
"Let us remember and honor U.S. Air Force Staff Sgt. Dustin W. Peters, 25 of El Dorado, Kansas, assigned to 314th Logistics Readiness Squadron, Little Rock AFB, Arkansas, KIA (July 11, 2004) during combat operations near FOB Summerall, SalahI ad Din Province, Iraq. R.I.P. ????",USAF,148
"The U.S. AirForce is here doing free healthcare, dental, and eye procedures.I got teary eyed because all I could think about is the fact that #RealityWinner use to do exactly what they are doing..serving the people and continued to serve. Yet look how she's being repaid?? #FreeRe",USAF,149
"Boeing publicly identified the NZ Air Force as a potential customer in 2008. In April 2017, the U.S. State Department approved the possible foreign military sale of up to four P-8As Well done National ??",USAF,150
"Retired USAF Master Sergeant Brent Lindstrom is bringing his decades of experience in service to country, to his run for State House Dist.1B in Minnesota. VoteVets is proud to endorse Brent in this race and name @BrentforOffice one of our 2018 Emerging Leaders!",USAF,151
"Q: Wait, the USAF uses carrier-based fighters? I though just the navy and marines use the carriers.. A: A pilot will use what he has to. Many non-Navy aircraft have arresting gear",USAF,152
"General O'Shaughnessy is the US General in command of NORAD. He was born in Canada, has served in the USAF with distinction & has family living in my riding of Durham. A great example of #FriendsFamilyAllies ????????#July4Canada ? at U.S. Ambassador's Residence",USAF,153
This TCU alum is reppin? the Frogs at USAF Combat Systems Officer training! Where are you showing your Horned Frog spirit this summer? #myTCUsummer,USAF,154
"The Boeing 908-909 was prototype single engine supersonic multirole fighter aircraft originally developed for USAF Lightweight Fighter program, program that later developed into Air Combat Fighter (ACF) program. design lost at conclusion to the General Dynamics 401, later F16 ",USAF,155
Holiday celebrations are coming early...Our deployed daughter is back on US soil and homeward bound. Will be hugging her by dinner time. #USAF #ProudParent,USAF,156
Enjoying my freedom today with this hand-etched mug that I got for the bargain price of 69 bucks due to my 20 years in the USAF. @scrowder @HopperCrowder @NotGayJared thanks for your hard work! pic.twitter.com/WnAZHBfdqm,USAF,157
My office when I was in the USAF. What a great aircraft. ,USAF,158
"Every single vote counts! That?s why I served in the USAF, so you can vote. It?s why I worked in LE as a public servant for 28 years, so you can vote. The right to vote is precious. Use it.",USAF,159
"I served 12 years in #USAF ... today I drove a float built by local dems, in a county that is 3:1 (R) to (D) we had @StephanyForCO onboard, she is seaking to unseat @RepDLamborn in #CO5 never have I felt more patriotic! #democracy",USAF,160
"#Happy4thofJuly! We?re very thankful to our friends in the @usairforce as they allow us use of RAF Fairford each year for the Air Tattoo! Thanks to 501st Combat Support Wing for all their assistance, as well as the wider USAF and Department of Defense community. ",USAF,161
"Tuesday, 03 July 2018 16:31 #AirForceOne #AF1 - Beginning decent into Lewisburg, WV - Greenbrier Valley Airport ID: USAF SAM90016 Callsign: Air Force One Squawk: 4667 Altitude: 13025 Lat: 37.7927 Long: -77.5547 ",USAF,162
"??""My name is Private Andrew Malone. If you're reading this, then I didn't make it home."" Be grateful for your Freedom. #Freedom #MilitaryStrong #America #USAF #USMC #NAVY #ARMY #USCG ??????",USAF,163
#USAF leaders joined other #AirForce leaders from 19 nations in the 58th Conference of American Air Chiefs. They built partnerships among air forces and discussed their collective visions. ,USAF,164
"USAF Col. (Ret) Kathy Schierman put on the uniform and served America, and says she won?t allow Donald Trump to put someone on #SCOTUS who would take her rights. Spread her message! #NoExtremeCourt",USAF,165
God bless the Marines President Trump has freed from being wrongly held in prisons and camps around the world. #Marines #Army #Navy #USMC #USAF #ICE #Police,USAF,166
"For those of you who think the military doesn?t welcome debate, I was just at the #USAF Nuclear College, where my regular role is to challenge the students - hard - with my views on deterrence and other ideas that are definitely not military orthodoxy. This is a healthy thing.",USAF,167
"Let's give a big shout out to my good friend Master Sergeant Daryl Ferricks pictured here with our great president @realDonaldTrump and the awesome #airforceone Daryl serves our country in the #USAF and is overseas right now, honor him also by following his daughter @ferricksj",USAF,168
"U.S. Air Force Captain Jessica Tait, part of the American military team on the ground in Thailand, tells @CeciliaVega on @GMA: ""All options are being considered"" as rescuers look at how best to extract soccer team from flooded cave. ",USAF,169
"The U.S. Air Force Air Demonstration Squadron ""Thunderbirds"" perform at the Arctic Thunder Open House Special Needs and Department of Defense Family Day at Joint Base Elmendorf-Richardson, Alaska. ",USAF,170
The U.S. Air Force learned to code?and saved the Pentagon millions ,USAF,171
